name;partNumber;quantity;location
Адаптер NET 30 MPI Pro;;0;Мастер
Вентилятор;;2;Мастер
Датчик индуктивный;E2Q5-N40MF3-M1;4;Мастер
Маховик на пульт;MBL600-100-5L;1;Мастер
Маховичек ;6FC9320-5DC01;1;Мастер
Панель SINUMERIK 828D. PPU;6FC5370-7AA30-0AA1;1;Мастер
Плата частотного преобразователя RI350A;RI350A-G-P2K2-4+ACL2+OCL1+TX503;1;Мастер
Станочный пульт (панель);30004816107;1;Мастер
Станочный пульт (панель);6FC5303-0AF23-1AA1;1;Мастер
Частотный преобразователь;RI350A-G-P2K2-4+ACL2+OCL1+TX503;1;Мастер
Частотный преобразователь;GD350A-7R5G/011P-4;1;Мастер
Батарея буферная SIMATIC (S7-400);6ES7 971-0BA00;3;Нач. участка
Контроллер S7-1500SP;6ES7 510-1DJ01-0AB0;1;Нач. участка
Тиристор;Т153-800-10-40 УХЛ2;8;Нач. участка
Тиристор;ТБ143-400-16-644;7;Нач. участка
Тиристор;ТБ153-1000-24-641 УХЛ2;2;Нач. участка
Активный интерфейсный модуль SINAMICS (Сетевой фильтр);6SL3100-0BE25-5AB0;1;Ремплощадка
Вентилятор;D2D146-AA02-22;1;Ремплощадка
Вентилятор;D4E225-CC01-21;1;Ремплощадка
Вентилятор;W2S130-BM03-01;10;Ремплощадка
Вентилятор в корпусе для инвертора ABB ACS800;WS FAN 230C Code: 68442966;2;Ремплощадка
Вентилятор в корпусе для инвертора ABB ACS800;WS FAN 230C Code: 68442966;0;Ремплощадка
Вентилятор для Micromaster 440 200 кВт;;4;Ремплощадка
Вентилятор для Micromaster 440 90 кВт;6SL3362-0AF00-0AA1;4;Ремплощадка
Вентилятор сменный для WS FAN 230C Code: 68442966;R2E225-BD92-09;0;Ремплощадка
Выпрямитель SIEMENS Sinamics S120 Basic Line Module;6SL3330-1TE35-3AA0;1;Ремплощадка
Выпрямитель SIEMENS Sinamics S120 Smart Line Module;6SL3130-6TE23-6AA3;1;Ремплощадка
Датчик индуктивный (большая таблетка);IKE 100.05 GH   Art. Nr. 2130H;1;Ремплощадка
Инвертор ABB ACS800;ACS800-104-0125-3+F272;1;Ремплощадка
Инвертор ABB ACS800;FC280P15KT4E20H2BX;0;Ремплощадка
Инвертор SIEMENS Sinamics S120;6SL3120-1TE23-0AA1;2;Ремплощадка
Инвертор SIEMENS Sinamics S120;6SL3120-1TE24-5AA1;6;Ремплощадка
Модуль управления SINAMICS Control Unit CU320;6SL3040-0MA00-0AA1;1;Ремплощадка
Преобразователь частоты Altivar 31;ATV31HU55N4;1;Ремплощадка
Преобразователь частоты Altivar 71;ATV71HU40N4Z;1;Ремплощадка
Преобразователь частоты Altivar 71;ATV71HU55N4;2;Ремплощадка
Преобразователь частоты Altivar 71;ATV71HU55N4;1;Ремплощадка
Преобразователь частоты Altivar 930;ATV930U55N4;1;Ремплощадка
Преобразователь частоты Danfoss VLT 2800;VLT2881PT4B20STR3DBF00A00C0;2;Ремплощадка
Преобразователь частоты Danfoss VLT 2800;VLT2881PT4B20STR3DBF00A00C0;2;Ремплощадка
Преобразователь частоты Micromaster 420;6SE6420-2AD31-1CA1;3;Ремплощадка
Преобразователь частоты Micromaster 430;6SE6430-2AD38-8FA0;2;Ремплощадка
Преобразователь частоты Micromaster 430;6SE6430-2UD31-5CA0;1;Ремплощадка
Преобразователь частоты Micromaster 430;6SE6430-2AD33-0DA0;1;Ремплощадка
Преобразователь частоты Micromaster 440;6SE6440-2UD42-0GA1;1;Ремплощадка
Преобразователь частоты Micromaster 440;6SE6440-2AD25-5CA1;0;Ремплощадка
Преобразователь частоты Micromaster 440;6SE6440-2UD24-0BA1;1;Ремплощадка
Преобразователь частоты PowerFlex 700 55 кВт;20B C 105 A 0 AYNANC0;1;Ремплощадка
Тормозной резистор (сопротивление);MCE101A56R0P3K20E21TAW;1;Ремплощадка
Тормозной резистор (сопротивление);6SL3100-1BE31-0AA0;1;Ремплощадка
Фильтр выходной Micromaster 4 AC OUTPUT CHOKE;6SE6400-3TC03-2CD3;0;Ремплощадка
Фильтр сетевой Micromaster 4 AC COMMUTATION CHOKE;6SE6400-3CC03-5CD3;1;Ремплощадка
Частотный преобразователь;GD350A-7R5G/011P-4;1;Ремплощадка
Частотный преобразователь;GD350A-015G/018P-4;0;Ремплощадка
Частотный преобразователь;R1350-022G-4+ACL2+OCL2+TX503;1;Ремплощадка
Батарея буферная SIMATIC (S7-400);6ES7 971-0BA00;1;Шкаф №1
Блок питания;DRA240-24A;1;Шкаф №1
Блок питания;NDR-120-24;1;Шкаф №1
Блок питания;PSP-600-15;1;Шкаф №1
Блок питания SITOP PSU100S;6EP1333-2BA20;1;Шкаф №1
Блок питания SITOP PSU100S;6EP1334-2BA20;1;Шкаф №1
Блок питания SITOP PSU100S;6EP3437-8SB00-0AY0;1;Шкаф №1
Блок питания SITOP PSU100S;6EP1333-2BA20;1;Шкаф №1
Блок питания SITOP PSU8200;6EP3436-8SB00-0AY0;1;Шкаф №1
Блок питания для ПЛК SIMATIC S7-300   PS 307 5A;6ES7 307-1EA01-0AA0;1;Шкаф №1
Датчик герконовый;0 830 100 433;2;Шкаф №1
Датчик герконовый;D-Z73;4;Шкаф №1
Датчик герконовый;D-Z73;1;Шкаф №1
Датчик герконовый;SMT-8M-A-PS-24V-E-0,3-M8D;1;Шкаф №4
Датчик герконовый;SMT-8M-A-PS-24V-E-0,3-M8D;1;Шкаф №1
Датчик давления;APZ 2422 G-B-2502-D-10-A-201-W-00;0;Шкаф №1
Датчик давления;ПД100-ДИ25,0-111-0,5;3;Шкаф №1
Датчик давления (реле давления);KLV59.6B/M12;1;Шкаф №1
Датчик индуктивный;LR18XBN08DPR-E2;5;Шкаф №1
Датчик индуктивный;ВБ2.34.хх.45.5.1.С4;13;Шкаф №1
Датчик индуктивный;E2Q5-N40MF3-M1;2;Шкаф №1
Датчик индуктивный;E2Q5-N40MF3-M1;0;Шкаф №1
Датчик индуктивный;IKOH 100.05 G   Art. Nr. 2060D;1;Шкаф №1
Датчик индуктивный;IKOH 100.05 G   Art. Nr. 2060D;1;Шкаф №1
Датчик индуктивный;ВБИ-М12-39Р-2111-З;1;Шкаф №1
Датчик индуктивный;ВБИ-М12-60С-1113-З;2;Шкаф №1
Датчик индуктивный;ВБИ-М12-65У-2113-З;2;Шкаф №1
Датчик индуктивный;ВБИ-М30-91Р-2113-З;0;Шкаф №1
Датчик индуктивный;ВБИ-М30-91Р-2113-С;1;Шкаф №1
Датчик индуктивный;ВБИ-М30-91У-2113-З;1;Шкаф №1
;F0081Y-16-210;2;
Датчик индуктивный;ВБИ-М18-86К-2111-З;1;Шкаф №4
Датчик индуктивный;ВБИ-Ф60-40К-2113-З;2;Шкаф №4
Датчик индуктивный;ВБИ-Ф60-40К-2113-З;1;Шкаф №1
Датчик индуктивный;ВБИ-Ф80-40У-2113-З;1;Шкаф №1
Датчик индуктивный;ВБИ-Ф80-40У-2113-З;3;Шкаф №1
Датчик индуктивный;Ni8-M18-OP6L;1;Шкаф №1
Датчик индуктивный;ВБИ-М18-86Р-2113-З;0;Шкаф №1
Датчик индуктивный;ВБИ-М18-86Р-2113-З;1;Шкаф №1
Датчик индуктивный;ВБИ-М18-86Р-2113-С;1;Шкаф №1
Датчик индуктивный;ВБИ-Ф60-40У-2111-З;1;Шкаф №1
Датчик индуктивный;ID5055 IDC3050BBPKG/2LED/US;0;Шкаф №1
Датчик индуктивный;ВБИ-М12-65Р-2111-З;5;Шкаф №1
Датчик индуктивный;ВБИ-М12-65Р-2111-З;2;Шкаф №1
Датчик индуктивный;ВБИ-М18-86У-2113-З;1;Шкаф №1
Датчик индуктивный;ВБИ-М18-76К-1113-З;1;Шкаф №1
Датчик индуктивный;ВБИ-М30-34Р-1111-Л;1;Шкаф №1
Датчик индуктивный;ВБИ-М30-76У-1113-З;1;Шкаф №1
Датчик индуктивный;ВБИ-М30-91К-2113-С;4;Шкаф №1
Датчик индуктивный;ВБИ-М18-56ВР-2113-СА.51;1;Шкаф №1
Датчик индуктивный (М18);IGC210;0;Шкаф №1
Датчик индуктивный (М18);IGT202;1;Шкаф №1
Датчик индуктивный (М18);ISN ET41A-31P-8-LZ;1;Шкаф №1
Датчик индуктивный (М18);ISN EC4A-43P-12-LZS4;1;Шкаф №1
Датчик индуктивный (М30);IIT204;1;Шкаф №1
Датчик лазерный;OD2-P250W150I0;3;Шкаф №1
Датчик лазерный;DT20-P214B;2;Шкаф №1
Датчик лазерный;O1D100   O1DLF3KG;2;Шкаф №1
Датчик лазерный;OD2-P250W150I0;1;Шкаф №1
Датчик линейного положения Balluff   BTL0324;BTL5-E10-M0150-P-S32;1;Шкаф №1
Датчик линейного положения Temposonics;RPS0300MD531P102;1;Шкаф №1
Датчик линейного положения Temposonics;RPS0200MD531P102;1;Шкаф №1
Датчик линейного положения Temposonics;RPS0450MD701S1G1102;1;Шкаф №1
Датчик оптический;E3Z-T81-L;1;Шкаф №1
Датчик оптический;E3Z-T81-D;1;Шкаф №1
Датчик оптический;ВБО-М18-76Р-8111-СА;1;Шкаф №1
Датчик оптический;ВБО-М18-76Р-8111-СА;1;Шкаф №1
Датчик оптический;ВБО-М18-76Р-9100-Н;1;Шкаф №1
Датчик оптический;ВБО-М18-76Р-9113-С;3;Шкаф №1
Датчик оптический;ВБО-М18-76С-8111-СА;3;Шкаф №1
Датчик оптический;ВБО-М18-76С-8111-СА;1;Шкаф №1
Датчик оптический;ВБО-М18-76У-9113-С;2;Шкаф №1
Датчик оптический;XUBL BKCNM12T;1;Шкаф №1
Датчик оптический;XUBL BPCNM12R;1;Шкаф №1
Датчик оптический;O06-NO/NC-PNP;1;Шкаф №1
Датчик оптический;ВБО-М18-76У-8113-СА;1;Шкаф №1
Датчик оптический. Лазерный излучатель;O5S200;1;Шкаф №1
Датчик оптический. Лазерный приемник;O5E200;1;Шкаф №1
Датчик ультразвуковой;UM30-212118;2;Шкаф №1
Датчик ультразвуковой;UM30-213118;1;Шкаф №1
Датчик ультразвуковой;UM18-217126111;2;Шкаф №1
Датчик уровня;LK3123 LK0472B-B-00KLPKG/US;1;Шкаф №1
Датчик уровня;LK3124 LK0728B-B-00KLPKG/US;1;Шкаф №1
Кабель Profibus с гнездовым разъемом М12;PCA-1557688;1;Шкаф №1
Кабель Profibus с гнездовым разъемом М12;PCA-1557688;1;Шкаф №1
Кабель для подключения питания;EX500-AP050-S;1;Шкаф №1
Кабель с разъёмами М12 (прямыми). Удлинитель;EVC014;1;Шкаф №1
Кабель с разъёмом для энкодера спрейера;;1;Шкаф №1
Кабель с разъёмом М12 (прямой);EVC002;0;Шкаф №1
Кабель с разъёмом М12 (угловой);EVC005;1;Шкаф №1
Кабель с разъёмом М12 8-пиновым (прямой);DOL-1208-G10MF, item 6048434;1;Шкаф №1
Кабель с разъёмом М8 (прямой);NEBU-M8G3-K-5-LE3;2;Шкаф №1
Кабель с разъёмом М8 (прямой);NEBU-M8G3-K-5-LE3;1;Шкаф №1
Каретка (бегунок) для датчика линейного положения;P1-LI-Q25L;1;Шкаф №1
